,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
80,0.0,350.0,-2.138332345e-05,-7.670523713e-10,-7.933553883e-10,-7.670489945e-10,-2.138342475e-05,3.11133889e-10,-7.933397548e-10,3.111422062e-10,-2.138140186e-05,CsPbBr3,seebeck,350K
81,0.05,350.0,-1.271003566e-05,-8.939640382e-10,-6.62929254e-10,-8.939642892e-10,-1.270983326e-05,1.162899744e-09,-6.629179058e-10,1.162884921e-09,-1.270872245e-05,CsPbBr3,seebeck,350K
82,0.1,350.0,-2.111636454e-06,-5.89159347e-10,2.826635432e-10,-5.891603875e-10,-2.11194964e-06,5.704371718e-10,2.82660021e-10,5.704316233e-10,-2.1118197e-06,CsPbBr3,seebeck,350K
83,0.15,350.0,9.349206752e-06,1.421429728e-10,2.964456549e-11,1.42147492e-10,9.349797766e-06,-3.210811878e-10,2.964260186e-11,-3.210761397e-10,9.34968447e-06,CsPbBr3,seebeck,350K
84,0.2,350.0,1.856522912e-05,3.948893355e-10,-4.340956372e-10,3.948979013e-10,1.856633224e-05,-1.058238865e-10,-4.340896787e-10,-1.058275035e-10,1.856697844e-05,CsPbBr3,seebeck,350K
85,0.25,350.0,2.820495745e-05,1.067627653e-09,7.130023207e-10,1.067639876e-09,2.820379597e-05,-5.952184729e-12,7.130118253e-10,-5.960456712e-12,2.820551925e-05,CsPbBr3,seebeck,350K
86,0.3,350.0,4.046807223e-05,1.882252733e-09,1.685875801e-09,1.882264612e-09,4.046704739e-05,6.036293043e-10,1.685889487e-09,6.036273768e-10,4.046787726e-05,CsPbBr3,seebeck,350K
87,0.35,350.0,5.106757036e-05,-1.577249152e-09,-2.367397733e-09,-1.577271258e-09,5.106854373e-05,-1.650922984e-09,-2.367385004e-09,-1.650888995e-09,5.106717505e-05,CsPbBr3,seebeck,350K
88,0.4,350.0,5.94116608e-05,-2.579392091e-09,-2.115780686e-09,-2.579506854e-09,5.941054594e-05,-4.872731867e-09,-2.11582352e-09,-4.872653601e-09,5.941082914e-05,CsPbBr3,seebeck,350K
89,0.45,350.0,6.932295425e-05,5.384625276e-09,7.361215702e-09,5.38428348e-09,6.932002335e-05,4.017084356e-09,7.360964621e-09,4.017185063e-09,6.932220581e-05,CsPbBr3,seebeck,350K
